Id,Time
1410233962578,3
1410233962582,3
1410233962586,4
1410233962590,4
1410233962594,4
1410233962597,3
1410233962602,4
1410233962606,4
1410233962609,3
1410233962613,4
1410233962617,4
1410233962622,5
1410233962626,4
1410233962630,4
1410233962634,4
1410233962638,4
1410233962642,3
1410233962647,5
1410233962651,4
1410233962655,4
1410233962658,3
1410233962663,4
1410233962666,4
1410233962670,4
1410233962674,4
1410233962678,4
1410233962681,3
1410233962687,4
1410233962690,4
1410233962695,3
1410233962709,15
1410233962713,3
1410233962717,3
1410233962721,4
1410233962725,4
1410233962729,4
1410233962733,4
1410233962736,3
1410233962740,3
1410233962744,4
1410233962748,4
1410233962752,4
1410233962756,4
1410233962759,3
1410233962763,3
1410233962767,4
1410233962771,4
1410233962775,4
1410233962779,4
1410233962782,3
1410233962786,3
1410233962790,4
1410233962793,4
1410233962797,4
1410233962801,4
1410233962805,3
1410233962808,4
1410233962817,9
1410233962822,5
1410233962825,3
1410233962831,5
1410233962834,3
1410233962838,3
1410233962842,4
1410233962846,4
1410233962850,4
1410233962854,4
1410233962866,12
1410233962869,3
1410233962873,3
1410233962877,4
1410233962881,4
1410233962885,4
1410233962889,4
1410233962893,4
1410233962897,4
1410233962901,4
1410233962906,4
1410233962909,4
1410233962913,4
1410233962917,4
1410233962920,3
1410233962924,3
1410233962928,3
1410233962932,4
1410233962936,4
1410233962940,4
1410233962943,3
1410233962947,3
1410233962951,4
1410233962955,4
1410233962959,4
1410233962977,18
1410233962981,3
1410233962985,3
1410233962989,4
1410233962993,4
1410233962997,4
1410233963007,10
1410233963011,4
1410233963015,4
1410233963019,4
1410233963023,4
1410233963027,3
1410233963031,5
1410233963036,3
1410233963039,4
1410233963043,4
1410233963047,4
1410233963059,12
1410233963064,4
1410233963069,4
1410233963073,4
1410233963077,4
1410233963082,4
1410233963085,5
1410233963089,4
1410233963092,3
1410233963096,4
1410233963100,4
1410233963104,4
1410233963108,4
1410233963111,3
1410233963115,3
1410233963120,5
1410233963123,3
1410233963127,3
1410233963132,5
1410233963136,4
1410233963139,4
1410233963142,3
1410233963147,3
1410233963150,4
1410233963154,4
1410233963158,4
1410233963162,4
1410233963166,4
1410233963169,3
1410233963173,3
1410233963177,4
1410233963181,4
1410233963184,3
1410233963188,3
1410233963192,3
1410233963196,4
1410233963200,4
1410233963204,4
1410233963208,4
1410233963211,3
1410233963215,3
1410233963219,4
1410233963223,4
1410233963226,3
1410233963238,11
1410233963241,11
1410233963245,3
1410233963248,4
1410233963252,3
1410233963255,4
1410233963259,4
1410233963263,4
1410233963267,4
1410233963280,13
1410233963285,5
1410233963289,4
1410233963293,4
1410233963298,4
1410233963302,4
1410233963306,4
1410233963310,4
1410233963314,4
1410233963318,4
1410233963322,4
1410233963326,4
1410233963330,4
1410233963366,36
1410233963371,5
1410233963376,5
1410233963380,5
1410233963385,4
1410233963389,4
1410233963392,3
1410233963396,3
1410233963400,4
1410233963404,4
1410233963407,3
1410233963411,4
1410233963415,4
1410233963418,3
1410233963422,4
1410233963426,4
1410233963430,4
1410233963433,3
1410233963437,4
1410233963441,3
1410233963445,4
1410233963449,4
1410233963452,3
1410233963456,3
1410233963460,4
1410233963464,4
1410233963467,3
1410233963471,3
1410233963475,3
1410233963479,4
1410233963483,4
1410233963486,3
1410233963491,4
1410233963494,3
1410233963498,3
1410233963502,3
1410233963506,4
1410233963510,4
1410233963514,4
1410233963518,4
1410233963521,3
1410233963525,3
1410233963529,4
1410233963533,4
1410233963536,3
1410233963555,18
1410233963567,12
1410233963572,4
1410233963575,3
1410233963579,4
1410233963582,3
1410233963587,3
1410233963590,4
1410233963600,9
1410233963603,9
1410233963607,4
1410233963610,3
1410233963635,24
1410233963640,5
1410233963644,4
1410233963648,4
1410233963652,3
1410233963655,4
1410233963659,3
1410233963663,3
1410233963667,4
1410233963671,4
1410233963675,3
1410233963679,4
1410233963683,4
1410233963687,4
1410233963691,4
1410233963694,3
1410233963698,3
1410233963701,4
1410233963742,38
1410233963745,40
1410233963750,4
1410233963755,4
1410233963758,4
1410233963762,4
1410233963805,43
1410233963810,5
1410233963815,5
1410233963819,4
1410233963843,24
1410233963848,5
1410233963853,5
1410233963857,4
1410233963861,4
